Displacement:0,Displacement:1,Displacement:2,Strain vectors:0,Strain vectors:1,Strain vectors:2,Stress vectors:0,Stress vectors:1,Stress vectors:2,Max shear stress (Tresca),Maximum Principal stress,Median Principal stress,Minimum Principal stress,Von Mises stress,Temperature,Points:0,Points:1,Points:2,Point ID
0,0,0,4.65057e-10,9.45469e-11,-0.0158238,20.8522,20.8522,-1.41841,11.9923,21.7092,20.8522,-2.27537,23.5677,213,18.4753,13.2798,-0.1,2053
0,0,0,1.04203e-05,4.48384e-07,-0.0155568,21.3232,21.3091,-0.586234,12.1151,22.4796,21.317,-1.75059,23.6703,213,19.2276,16.3075,-0.1,2054
0,0,0,-9.55038e-08,-8.31465e-07,-0.0154807,21.4139,21.4129,-0.373662,12.2161,22.7279,21.4295,-1.70426,23.8095,213,19.2276,17.2666,-0.1,2055
0,0,0,1.04895e-06,3.08856e-06,-0.0154549,21.4662,21.469,-0.2867,12.0654,22.6583,21.4626,-1.47243,23.5557,213,18.8832,15.4608,-0.1,2056
0,0,0,4.29178e-10,2.60373e-10,-0.0159297,20.6784,20.6784,-1.74113,11.8979,21.3665,20.6784,-2.42922,23.4592,213,18.0108,16.4229,-0.1,2057
0,0,0,6.33835e-06,6.22489e-07,-0.0164603,19.8275,19.8194,-3.34777,12.2392,20.4761,19.8253,-4.00229,24.1596,213,18.1249,14.841,-0.1,2058
0,0,0,7.50386e-10,1.22899e-10,-0.0155802,21.2522,21.2522,-0.675458,12.3485,22.6369,21.2522,-2.06015,24.0346,213,19.2276,18.2257,-0.1,2059
0,0,0,2.27901e-05,1.05746e-06,-0.0168514,19.2362,19.2056,-4.51272,12.4941,19.8516,19.2139,-5.13647,24.6754,213,18.155,18.1186,-0.1,2060
0,0,0,-1.47091e-06,1.75597e-06,-0.0154955,21.3897,21.3942,-0.416767,12.1296,22.6224,21.3815,-1.63673,23.6631,213,19.0274,19.0747,-0.1,2061
0,0,0,3.61774e-10,1.81963e-10,-0.0152842,21.7383,21.7383,0.227284,11.7163,22.699,21.7383,-0.733459,22.9672,213,18.4494,19.4388,-0.1,2062
0,0,0,9.82615e-11,7.63374e-10,-0.0149609,22.2692,22.2692,1.21315,11.5718,23.3129,22.2692,0.169409,22.6397,213,17.3547,20.2967,-0.1,2063
0,0,0,-1.05664e-06,1.57111e-07,-0.0149184,22.336,22.3377,1.34129,11.4763,23.3102,22.3472,0.357595,22.4866,213,16.441,20.2967,-0.1,2064
0,0,0,-3.23481e-06,-2.15627e-06,-0.0150283,22.145,22.1465,0.9985,11.5275,23.1039,22.1372,0.0489527,22.5871,213,18.1137,20.0338,-0.1,2065
0,0,0,7.53939e-07,2.6915e-05,-0.0150555,22.1603,22.1971,0.970038,11.1411,22.7168,22.1761,0.434514,22.0169,213,17.1957,19.2305,-0.1,2066
0,0,0,-5.61366e-07,6.8896e-06,-0.0149079,22.3658,22.3763,1.38511,11.3487,23.2252,22.3743,0.52773,22.2842,213,15.5274,20.2967,-0.1,2067
0,0,0,-5.38191e-07,1.98862e-05,-0.0149697,22.2856,22.3144,1.21786,11.601,23.3512,22.3173,0.149289,22.7027,213,14.0239,20.3931,-0.1,2068
0,0,0,4.41449e-07,1.75686e-05,-0.0148582,22.4679,22.492,1.55566,11.7407,23.7546,22.4878,0.273191,22.8743,213,13.1102,20.3931,-0.1,2069
0,0,0,3.67288e-06,1.49706e-06,-0.0149512,22.2987,22.2956,1.25108,11.5143,23.291,22.2919,0.262447,22.5456,213,14.714,19.9846,-0.1,2070
0,0,0,4.55534e-07,7.43846e-06,-0.0149659,22.2744,22.2842,1.21058,11.1767,22.92,22.2826,0.566545,22.0417,213,14.1197,19.2777,-0.1,2071
0,0,0,1.76656e-10,2.34451e-10,-0.015142,21.9718,21.9718,0.660893,11.3165,22.6329,21.9718,-0.000196517,22.3099,213,15.6232,19.1813,-0.1,2072
0,0,0,4.07836e-07,1.67454e-05,-0.0148826,22.4264,22.4494,1.47999,11.8045,23.7566,22.4517,0.147549,22.9844,213,12.5207,20.4638,-0.1,2073
0,0,0,-4.09987e-07,2.81984e-05,-0.0149654,22.3068,22.347,1.2449,11.7264,23.503,22.3454,0.0502667,22.8959,213,11.6071,20.4638,-0.1,2074
0,0,0,1.79356e-07,1.30836e-05,-0.0148755,22.4313,22.4495,1.49515,11.2076,23.171,22.449,0.755927,22.0629,213,12.84,19.7569,-0.1,2075
0,0,0,-1.40173e-07,2.61971e-05,-0.0150097,22.2316,22.2686,1.107,11.8099,23.4792,22.2686,-0.140648,23.0384,213,10.4364,20.5393,-0.1,2076
0,0,0,4.54205e-07,3.35533e-06,-0.0149025,22.3719,22.376,1.39745,11.7876,23.6722,22.3761,0.0970594,22.9545,213,9.52276,20.5393,-0.1,2077
0,0,0,3.62406e-08,6.49131e-06,-0.0149205,22.3463,22.3553,1.34702,11.2323,23.079,22.3552,0.614424,22.1116,213,10.4903,19.473,-0.1,2078
0,0,0,3.63953e-11,6.90306e-10,-0.014854,22.4447,22.4447,1.53906,11.6521,23.644,22.4447,0.339744,22.7284,213,11.0175,20.0336,-0.1,2079
0,0,0,-2.13241e-07,7.40194e-06,-0.0149862,22.2391,22.2498,1.1477,11.2462,22.9394,22.2501,0.447096,22.1557,213,11.6609,19.3975,-0.1,2080
0,0,0,-2.66302e-08,7.13571e-06,-0.0149506,22.2977,22.3078,1.25619,11.5146,23.2918,22.3074,0.262509,22.5532,213,8.59476,20.507,-0.1,2081
0,0,0,-3.78524e-08,2.51546e-05,-0.0149199,22.3776,22.413,1.37925,11.841,23.7184,22.4151,0.0363637,23.058,213,7.68112,20.507,-0.1,2082
0,0,0,1.40262e-08,4.51958e-06,-0.0148414,22.4728,22.4791,1.58486,11.3115,23.3403,22.4791,0.717383,22.2048,213,8.98116,19.9463,-0.1,2083
0,0,0,4.23346e-07,1.77056e-05,-0.0148737,22.4426,22.4669,1.50854,11.7507,23.7284,22.4627,0.226908,22.8949,213,6.98901,20.4079,-0.1,2084
0,0,0,-5.27183e-07,2.04621e-05,-0.0149924,22.2493,22.2788,1.14955,11.6237,23.3217,22.2817,0.0742351,22.7453,213,6.07538,20.4079,-0.1,2085
0,0,0,1.7658e-07,1.17989e-05,-0.0149275,22.3439,22.3602,1.33455,11.2638,23.1032,22.3598,0.57567,22.1652,213,7.36105,19.8149,-0.1,2086
0,0,0,-4.66072e-09,2.56669e-05,-0.0149736,22.2905,22.3266,1.21657,11.549,23.3063,22.3191,0.20824,22.6206,213,4.57261,20.2967,-0.1,2087
0,0,0,3.48724e-07,-3.06719e-09,-0.0148476,22.4562,22.4557,1.55913,11.5973,23.6051,22.4554,0.410542,22.6416,213,3.65897,20.2967,-0.1,2088
0,0,0,4.20273e-07,7.63421e-06,-0.0149723,22.2643,22.2744,1.19158,11.1828,22.9115,22.2728,0.545948,22.0532,213,5.97944,19.2888,-0.1,2089
0,0,0,9.02578e-11,5.89281e-10,-0.0149061,22.359,22.359,1.38002,11.5588,23.4283,22.359,0.310695,22.6019,213,5.38589,19.9809,-0.1,2090
0,0,0,-1.72066e-06,8.49257e-06,-0.0150797,22.0828,22.0972,0.86202,11.2313,22.7046,22.0954,0.242054,22.1642,213,4.47668,19.1776,-0.1,2091
0,0,0,-1.77879e-06,6.32713e-06,-0.0149023,22.3702,22.3816,1.39907,11.3206,23.2052,22.3817,0.563928,22.241,213,2.74534,20.2967,-0.1,2092
0,0,0,2.53477e-10,2.17873e-10,-0.0151347,21.9838,21.9838,0.683151,11.3972,22.7307,21.9838,-0.0637326,22.4303,213,2.90433,19.2305,-0.1,2093
0,0,0,-1.44234e-06,-3.41404e-07,-0.0150046,22.1923,22.1939,1.07671,11.4263,23.0618,22.1919,0.209218,22.4303,213,1.98626,20.0338,-0.1,2094
0,0,0,-1.32549e-08,2.41046e-07,-0.0153942,21.558,21.5583,-0.107933,10.8352,21.5602,21.5584,-0.110213,21.6695,213,10.4683,9.15645,-0.1,2095
0,0,0,7.26894e-11,8.46394e-11,-0.0153986,21.5504,21.5504,-0.121704,10.8435,21.5579,21.5504,-0.129169,21.6833,213,10.2916,8.19212,-0.1,2096
0,0,0,7.38099e-11,8.07238e-11,-0.0153969,21.5531,21.5531,-0.11661,10.8386,21.5569,21.5531,-0.120369,21.6753,213,9.83668,8.77727,-0.1,2097
0,0,0,1.69463e-07,-2.31683e-09,-0.0154001,21.5485,21.5483,-0.125868,10.8446,21.5559,21.5483,-0.133234,21.6853,213,9.14028,8.37564,-0.1,2098
0,0,0,1.06363e-08,4.52773e-07,-0.0153958,21.5557,21.5563,-0.112534,10.8364,21.558,21.5562,-0.114796,21.6719,213,9.31696,9.33997,-0.1,2099
0,0,0,7.39275e-11,6.74665e-11,-0.0153937,21.5584,21.5584,-0.106765,10.8349,21.5607,21.5584,-0.109056,21.6686,213,11.0264,9.65848,-0.1,2100
0,0,0,-1.52381e-07,2.47567e-08,-0.0153957,21.5547,21.5549,-0.113151,10.8398,21.5606,21.5549,-0.119023,21.6768,213,11.4814,9.07333,-0.1,2101
0,0,0,7.41075e-11,6.55724e-11,-0.0153928,21.5599,21.5599,-0.104048,10.8325,21.5604,21.5599,-0.104595,21.6648,213,10.6068,10.2587,-0.1,2102
0,0,0,-2.93397e-07,-1.41084e-08,-0.015394,21.5571,21.5575,-0.108119,10.8372,21.5619,21.5571,-0.112529,21.672,213,11.6199,10.1756,-0.1,2103
0,0,0,-6.24915e-08,1.72267e-07,-0.0153948,21.5567,21.557,-0.110051,10.8351,21.5586,21.5568,-0.111666,21.6693,213,9.12558,10.0436,-0.1,2104
0,0,0,2.00703e-07,-6.13832e-09,-0.0153968,21.5539,21.5536,-0.115992,10.8378,21.5567,21.5537,-0.11887,21.6741,213,8.88632,11.0789,-0.1,2105
0,0,0,7.46017e-11,6.505e-11,-0.0153935,21.5589,21.5589,-0.106007,10.8328,21.5592,21.5589,-0.106328,21.6654,213,9.77409,10.7769,-0.1,2106
0,0,0,2.03712e-08,-7.85966e-08,-0.0153939,21.5581,21.558,-0.107367,10.834,21.5593,21.558,-0.108635,21.6673,213,10.3676,11.294,-0.1,2107
0,0,0,6.23647e-07,-1.05085e-08,-0.015399,21.5517,21.5508,-0.121818,10.8417,21.5563,21.5515,-0.127097,21.681,213,8.42918,9.64196,-0.1,2108
0,0,0,-8.54161e-07,1.29418e-07,-0.0154123,21.5255,21.5269,-0.164703,10.9002,21.581,21.5262,-0.219485,21.7731,213,13.2486,14.3856,-0.1,2109
0,0,0,-4.16087e-07,1.25702e-07,-0.0154061,21.537,21.5377,-0.145159,10.8858,21.5818,21.5375,-0.189765,21.7495,213,12.3386,14.3979,-0.1,2110
